Store_Name,lng,lat,Address,Address Line #2,City,State,Zip5,Zip4,County
"Mr. Mike's - New Lancaster Rd (306) 306",-71.730644,42.497524,"280 New Lancaster Rd","","Leominster","MA","01453","4957","WORCESTER"
"Mr. Mike's - Lunenburg (305) 305",-71.766594,42.589241,"131 Massachusetts Ave","","Lunenburg","MA","01462","1214","WORCESTER"
"Nichols Market",-71.042404,42.408108,"82 Nichols St","","Everett","MA","02149","4912","MIDDLESEX"
"Mr. Mike's - Ayer (309) 309",-71.572006,42.549633,"27 Harvard Rd","","Ayer","MA","01432","1741","MIDDLESEX"
"Mr. Mike's - Groton (314) 314",-71.565788,42.599751,"6 Boston Rd","","Groton","MA","01450","1862","MIDDLESEX"
"Mr. Mike's - Townsend (316) 316",-71.70414,42.666012,"238 Main St","","Townsend","MA","01469","1032","MIDDLESEX"
"Mr. Mike's - Winchendon (320) 320",-72.038353,42.679188,"240 Spring St","","Winchendon","MA","01475","1756","WORCESTER"
"Mr. Mike's - Gardner (327) 327",-71.981262,42.566322,"17 Pearson Blvd","","Gardner","MA","01440","3909","WORCESTER"
"Dedham Market Inc",-71.155487,42.241165,"69 Cedar St","","Dedham","MA","02026","3226","NORFOLK"
"Flint Fish Market",-71.13134,41.688255,"1650 Pleasant St","","Fall River","MA","02723","1929","BRISTOL"
"Discount Liquors & Grocery Mart",-70.976776,42.246513,"603 Washington St","","Quincy","MA","02169","7206","NORFOLK"
"Tedeschi Food Shops 334",-70.922394,42.523743,"115 Main St","","Peabody","MA","01960","5551","ESSEX"
"Fortuna Mini Market",-71.806801,42.260262,"35 Chandler St","","Worcester","MA","01609","2403","WORCESTER"
"S & K Convenience",-71.130196,41.687862,"696 Eastern Ave","","Fall River","MA","02723","2007","BRISTOL"
"Norwell Sunoco 5091",-70.888596,42.167534,"117 Pond St","","Norwell","MA","02061","1601","PLYMOUTH"
"Market Basket (72) 72",-71.438744,42.585365,"6A Cornerstone Sq","","Westford","MA","01886","","MIDDLESEX"
"Tedeschi Food Shops (223) 223",-71.006981,42.422108,"72 Squire Rd","","Revere","MA","02151","1315","SUFFOLK"
"Ultramart Convenience Stores LLC  (03) 03",-71.758476,42.518936,"193 Central St","","Leominster","MA","01453","6113","WORCESTER"
"Riley's Corner",-71.092834,42.770905,"352 Washington St","","Haverhill","MA","01832","5336","ESSEX"
"Richdale Convenience Store",-70.908882,42.511799,"84A Highland Ave","","Salem","MA","01970","2715","ESSEX"
"Carmella's Market",-71.035217,42.367828,"86 Cottage St","","Boston","MA","02128","2228","SUFFOLK"
"Food Mart",-72.551338,42.09341,"353 Allen St","","Springfield","MA","01108","1902","HAMPDEN"
"ABA Retailers Inc DBA/ Bedford Market",-70.948837,42.108555,"170 Bedford St","","Abington","MA","02351","1951","PLYMOUTH"
"Ortiz Grocery",-71.092934,42.279377,"1300 Blue Hill Ave","","Mattapan","MA","02126","1806","SUFFOLK"
"Corner Stop",-70.94281,41.699715,"1203 Church St","","New Bedford","MA","02745","1706","BRISTOL"
"Harrys Country Store",-71.088684,41.630676,"645 American Legion Hwy","","Westport","MA","02790","4130","BRISTOL"
"Tedeschi Food Shops 477",-71.568207,42.398746,"28 Cox St","","Hudson","MA","01749","1403","MIDDLESEX"
"Bazaar West",-71.432617,42.300167,"855 Worcester Rd","","Framingham","MA","01701","5258","MIDDLESEX"
"Taj Mahal Desi Bazaar",-71.091393,42.391224,"274 Broadway","","Somerville","MA","02145","2950","MIDDLESEX"
"Newton Indoor Farmers Market",-71.209679,42.321182,"90 Lincoln St","","Newton Highlands","MA","02461","1542","MIDDLESEX"
"Alex Market II Inc",-71.097588,42.314987,"1985A Columbus Ave","","Roxbury","MA","02119","1151","SUFFOLK"
"7 Eleven  (36044H) 36044H",-71.23745,42.277176,"173 Chestnut St","","Needham","MA","02492","2503","NORFOLK"
"Walgreens 11726",-71.354774,42.634933,"1765 Middlesex St","","Lowell","MA","01851","1105","MIDDLESEX"
"Family Dollar 9063",-72.620155,42.196011,"223 South St","","Holyoke","MA","01040","3611","HAMPDEN"
"D & R Market",-70.928658,42.52412,"54A Foster St","","Peabody","MA","01960","5934","ESSEX"
"Towers Plaza Variety",-71.061745,42.465042,"894 Main St","","Melrose","MA","02176","2346","MIDDLESEX"
"Village Variety",-71.393837,42.642105,"11 Dunstable Rd","","North Chelmsford","MA","01863","1436","MIDDLESEX"
"Central Street Market LLC",-71.784134,42.367416,"76A Central St","","West Boylston","MA","01583","1653","WORCESTER"
"7 Eleven  (34416H) 34416H",-71.53727,42.01873,"114 Main St","Ste 1","Blackstone","MA","01504","2290","WORCESTER"
"Stop & Shop 2410",-71.090096,42.423786,"471 Salem St","","Medford","MA","02155","3336","MIDDLESEX"
"New Ocean Seafood Market",-70.986984,42.081642,"793 Crescent St","Ste 1","Brockton","MA","02302","3364","PLYMOUTH"
"Lluvias Dollar Stop Plus",-71.099236,42.314754,"3122 Washington St","","Roxbury","MA","02119","3115","SUFFOLK"
"Plymouth Winter Farmers' Market",-70.688416,41.978111,"10 Cordage Park Circle","","Plymouth","MA","02360","","PLYMOUTH"
"606 Andover St Market LLC",-71.173973,42.690258,"606 Andover St","","Lawrence","MA","01843","1027","ESSEX"
"Pleasant Variety & Package Store",-72.667442,42.272247,"42 Pleasant St","","Easthampton","MA","01027","1140","HAMPSHIRE"
"McGills Deli",-71.061356,42.4734,"1317 Main St","","Wakefield","MA","01880","4275","MIDDLESEX"
"DPNEWT01 Inc  DBA/ 7 Eleven (32463E) 32463E",-71.081039,42.344837,"252 W Newton St","Ste 1","Boston","MA","02116","6498","SUFFOLK"
"Tedeschi Food Shop  (248) 248",-72.006935,42.57486,"403 Parker St","","Gardner","MA","01440","3731","WORCESTER"
"In & Out Convenience",-71.049194,42.441761,"463 Lebanon St","","Malden","MA","02148","1733","MIDDLESEX"
"Noora Convenience",-71.094788,42.267136,"532 River St","","Mattapan","MA","02126","3014","SUFFOLK"
"Do Brazil Mini Market",-71.103386,42.124954,"22 Porter St","","Stoughton","MA","02072","2938","NORFOLK"
"Mason Road Food Mart",-70.955406,41.770779,"1 Mason Rd","","East Freetown","MA","02717","1709","BRISTOL"
"Casali Market",-71.055817,42.283241,"775 Adams St","","Dorchester Center","MA","02124","5103","SUFFOLK"
"Gas Depot",-71.015366,42.063198,"1123 Main St","","Brockton","MA","02301","6830","PLYMOUTH"
"Jareks Market",-71.156319,41.69416,"362 5th St","","Fall River","MA","02721","2814","BRISTOL"
"Gigante Meat Market 2",-71.169601,42.720123,"333 Lawrence St","","Lawrence","MA","01841","1122","ESSEX"
"Sandys Market",-71.098877,42.373508,"1295 Cambridge St","","Cambridge","MA","02139","1338","MIDDLESEX"
"D & T Market",-70.974434,42.377106,"291 Shirley St","","Winthrop","MA","02152","1238","SUFFOLK"
"Muldoons Mini Mart",-70.946892,41.70705,"1411A Phillips Rd","","New Bedford","MA","02745","1941","BRISTOL"
"Dollar N Up",-71.160324,42.691639,"272 S Broadway","","Lawrence","MA","01843","2633","ESSEX"
"Elm Street Market",-71.039528,42.413605,"178 Elm St","","Everett","MA","02149","5222","MIDDLESEX"
